dataset name,sample id,dimension,score
abstract_narrative_understanding_annotation,33,Causal Reasoning,1
abstract_narrative_understanding_annotation,33,Cognitive Flexibility,0
abstract_narrative_understanding_annotation,33,Emotion Perception & Empathy (EPE),1
abstract_narrative_understanding_annotation,33,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,33,Executive Function (EF),3
abstract_narrative_understanding_annotation,33,Functional perception,1
abstract_narrative_understanding_annotation,33,Inhibitory Control,1
abstract_narrative_understanding_annotation,33,Language,2
abstract_narrative_understanding_annotation,33,Mental Simulation,0
abstract_narrative_understanding_annotation,33,Metacognition,3
abstract_narrative_understanding_annotation,33,Object permanence,0
abstract_narrative_understanding_annotation,33,Perception and Pattern Recognition,1
abstract_narrative_understanding_annotation,33,Planning,0
abstract_narrative_understanding_annotation,33,Procedural Memory,0
abstract_narrative_understanding_annotation,33,Prospective Memory,0
abstract_narrative_understanding_annotation,33,Semantic Memory,2
abstract_narrative_understanding_annotation,33,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,33,Theory of Mind,2
abstract_narrative_understanding_annotation,33,Working Memory,2
abstract_narrative_understanding_annotation,33,ambiguity,4
abstract_narrative_understanding_annotation,33,factuality,5
abstract_narrative_understanding_annotation,354,Causal Reasoning,1
abstract_narrative_understanding_annotation,354,Cognitive Flexibility,1
abstract_narrative_understanding_annotation,354,Emotion Perception & Empathy (EPE),1
abstract_narrative_understanding_annotation,354,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,354,Executive Function (EF),2
abstract_narrative_understanding_annotation,354,Functional perception,2
abstract_narrative_understanding_annotation,354,Inhibitory Control,1
abstract_narrative_understanding_annotation,354,Language,2
abstract_narrative_understanding_annotation,354,Mental Simulation,0
abstract_narrative_understanding_annotation,354,Metacognition,2
abstract_narrative_understanding_annotation,354,Object permanence,0
abstract_narrative_understanding_annotation,354,Perception and Pattern Recognition,2
abstract_narrative_understanding_annotation,354,Planning,0
abstract_narrative_understanding_annotation,354,Procedural Memory,0
abstract_narrative_understanding_annotation,354,Prospective Memory,0
abstract_narrative_understanding_annotation,354,Semantic Memory,2
abstract_narrative_understanding_annotation,354,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,354,Theory of Mind,3
abstract_narrative_understanding_annotation,354,Working Memory,2
abstract_narrative_understanding_annotation,354,ambiguity,5
abstract_narrative_understanding_annotation,354,factuality,5
abstract_narrative_understanding_annotation,483,Causal Reasoning,1
abstract_narrative_understanding_annotation,483,Cognitive Flexibility,0
abstract_narrative_understanding_annotation,483,Emotion Perception & Empathy (EPE),0
abstract_narrative_understanding_annotation,483,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,483,Executive Function (EF),2
abstract_narrative_understanding_annotation,483,Functional perception,3
abstract_narrative_understanding_annotation,483,Inhibitory Control,1
abstract_narrative_understanding_annotation,483,Language,3
abstract_narrative_understanding_annotation,483,Mental Simulation,1
abstract_narrative_understanding_annotation,483,Metacognition,2
abstract_narrative_understanding_annotation,483,Object permanence,0
abstract_narrative_understanding_annotation,483,Perception and Pattern Recognition,2
abstract_narrative_understanding_annotation,483,Planning,0
abstract_narrative_understanding_annotation,483,Procedural Memory,0
abstract_narrative_understanding_annotation,483,Prospective Memory,0
abstract_narrative_understanding_annotation,483,Semantic Memory,2
abstract_narrative_understanding_annotation,483,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,483,Theory of Mind,3
abstract_narrative_understanding_annotation,483,Working Memory,2
abstract_narrative_understanding_annotation,483,ambiguity,5
abstract_narrative_understanding_annotation,483,factuality,2
abstract_narrative_understanding_annotation,507,Causal Reasoning,1
abstract_narrative_understanding_annotation,507,Cognitive Flexibility,2
abstract_narrative_understanding_annotation,507,Emotion Perception & Empathy (EPE),1
abstract_narrative_understanding_annotation,507,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,507,Executive Function (EF),2
abstract_narrative_understanding_annotation,507,Functional perception,1
abstract_narrative_understanding_annotation,507,Inhibitory Control,1
abstract_narrative_understanding_annotation,507,Language,1
abstract_narrative_understanding_annotation,507,Mental Simulation,1
abstract_narrative_understanding_annotation,507,Metacognition,2
abstract_narrative_understanding_annotation,507,Object permanence,0
abstract_narrative_understanding_annotation,507,Perception and Pattern Recognition,1
abstract_narrative_understanding_annotation,507,Planning,0
abstract_narrative_understanding_annotation,507,Procedural Memory,0
abstract_narrative_understanding_annotation,507,Prospective Memory,0
abstract_narrative_understanding_annotation,507,Semantic Memory,1
abstract_narrative_understanding_annotation,507,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,507,Theory of Mind,2
abstract_narrative_understanding_annotation,507,Working Memory,2
abstract_narrative_understanding_annotation,507,ambiguity,5
abstract_narrative_understanding_annotation,507,factuality,5
abstract_narrative_understanding_annotation,523,Causal Reasoning,1
abstract_narrative_understanding_annotation,523,Cognitive Flexibility,1
abstract_narrative_understanding_annotation,523,Emotion Perception & Empathy (EPE),2
abstract_narrative_understanding_annotation,523,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,523,Executive Function (EF),3
abstract_narrative_understanding_annotation,523,Functional perception,2
abstract_narrative_understanding_annotation,523,Inhibitory Control,2
abstract_narrative_understanding_annotation,523,Language,2
abstract_narrative_understanding_annotation,523,Mental Simulation,0
abstract_narrative_understanding_annotation,523,Metacognition,2
abstract_narrative_understanding_annotation,523,Object permanence,0
abstract_narrative_understanding_annotation,523,Perception and Pattern Recognition,2
abstract_narrative_understanding_annotation,523,Planning,0
abstract_narrative_understanding_annotation,523,Procedural Memory,0
abstract_narrative_understanding_annotation,523,Prospective Memory,0
abstract_narrative_understanding_annotation,523,Semantic Memory,3
abstract_narrative_understanding_annotation,523,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,523,Theory of Mind,3
abstract_narrative_understanding_annotation,523,Working Memory,2
abstract_narrative_understanding_annotation,523,ambiguity,5
abstract_narrative_understanding_annotation,523,factuality,5
abstract_narrative_understanding_annotation,750,Causal Reasoning,1
abstract_narrative_understanding_annotation,750,Cognitive Flexibility,0
abstract_narrative_understanding_annotation,750,Emotion Perception & Empathy (EPE),0
abstract_narrative_understanding_annotation,750,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,750,Executive Function (EF),2
abstract_narrative_understanding_annotation,750,Functional perception,1
abstract_narrative_understanding_annotation,750,Inhibitory Control,2
abstract_narrative_understanding_annotation,750,Language,2
abstract_narrative_understanding_annotation,750,Mental Simulation,0
abstract_narrative_understanding_annotation,750,Metacognition,1
abstract_narrative_understanding_annotation,750,Object permanence,0
abstract_narrative_understanding_annotation,750,Perception and Pattern Recognition,2
abstract_narrative_understanding_annotation,750,Planning,0
abstract_narrative_understanding_annotation,750,Procedural Memory,0
abstract_narrative_understanding_annotation,750,Prospective Memory,0
abstract_narrative_understanding_annotation,750,Semantic Memory,3
abstract_narrative_understanding_annotation,750,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,750,Theory of Mind,3
abstract_narrative_understanding_annotation,750,Working Memory,2
abstract_narrative_understanding_annotation,750,ambiguity,4
abstract_narrative_understanding_annotation,750,factuality,5
abstract_narrative_understanding_annotation,776,Causal Reasoning,1
abstract_narrative_understanding_annotation,776,Cognitive Flexibility,0
abstract_narrative_understanding_annotation,776,Emotion Perception & Empathy (EPE),1
abstract_narrative_understanding_annotation,776,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,776,Executive Function (EF),1
abstract_narrative_understanding_annotation,776,Functional perception,1
abstract_narrative_understanding_annotation,776,Inhibitory Control,1
abstract_narrative_understanding_annotation,776,Language,1
abstract_narrative_understanding_annotation,776,Mental Simulation,0
abstract_narrative_understanding_annotation,776,Metacognition,1
abstract_narrative_understanding_annotation,776,Object permanence,0
abstract_narrative_understanding_annotation,776,Perception and Pattern Recognition,1
abstract_narrative_understanding_annotation,776,Planning,0
abstract_narrative_understanding_annotation,776,Procedural Memory,0
abstract_narrative_understanding_annotation,776,Prospective Memory,0
abstract_narrative_understanding_annotation,776,Semantic Memory,2
abstract_narrative_understanding_annotation,776,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,776,Theory of Mind,2
abstract_narrative_understanding_annotation,776,Working Memory,2
abstract_narrative_understanding_annotation,776,ambiguity,5
abstract_narrative_understanding_annotation,776,factuality,5
abstract_narrative_understanding_annotation,85,Causal Reasoning,1
abstract_narrative_understanding_annotation,85,Cognitive Flexibility,1
abstract_narrative_understanding_annotation,85,Emotion Perception & Empathy (EPE),2
abstract_narrative_understanding_annotation,85,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,85,Executive Function (EF),2
abstract_narrative_understanding_annotation,85,Functional perception,2
abstract_narrative_understanding_annotation,85,Inhibitory Control,2
abstract_narrative_understanding_annotation,85,Language,1
abstract_narrative_understanding_annotation,85,Mental Simulation,1
abstract_narrative_understanding_annotation,85,Metacognition,3
abstract_narrative_understanding_annotation,85,Object permanence,0
abstract_narrative_understanding_annotation,85,Perception and Pattern Recognition,2
abstract_narrative_understanding_annotation,85,Planning,0
abstract_narrative_understanding_annotation,85,Procedural Memory,0
abstract_narrative_understanding_annotation,85,Prospective Memory,0
abstract_narrative_understanding_annotation,85,Semantic Memory,3
abstract_narrative_understanding_annotation,85,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,85,Theory of Mind,3
abstract_narrative_understanding_annotation,85,Working Memory,2
abstract_narrative_understanding_annotation,85,ambiguity,5
abstract_narrative_understanding_annotation,85,factuality,5
abstract_narrative_understanding_annotation,895,Causal Reasoning,1
abstract_narrative_understanding_annotation,895,Cognitive Flexibility,2
abstract_narrative_understanding_annotation,895,Emotion Perception & Empathy (EPE),1
abstract_narrative_understanding_annotation,895,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,895,Executive Function (EF),3
abstract_narrative_understanding_annotation,895,Functional perception,2
abstract_narrative_understanding_annotation,895,Inhibitory Control,2
abstract_narrative_understanding_annotation,895,Language,2
abstract_narrative_understanding_annotation,895,Mental Simulation,0
abstract_narrative_understanding_annotation,895,Metacognition,2
abstract_narrative_understanding_annotation,895,Object permanence,0
abstract_narrative_understanding_annotation,895,Perception and Pattern Recognition,3
abstract_narrative_understanding_annotation,895,Planning,0
abstract_narrative_understanding_annotation,895,Procedural Memory,0
abstract_narrative_understanding_annotation,895,Prospective Memory,0
abstract_narrative_understanding_annotation,895,Semantic Memory,2
abstract_narrative_understanding_annotation,895,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,895,Theory of Mind,3
abstract_narrative_understanding_annotation,895,Working Memory,2
abstract_narrative_understanding_annotation,895,ambiguity,5
abstract_narrative_understanding_annotation,895,factuality,5
abstract_narrative_understanding_annotation,922,Causal Reasoning,1
abstract_narrative_understanding_annotation,922,Cognitive Flexibility,2
abstract_narrative_understanding_annotation,922,Emotion Perception & Empathy (EPE),1
abstract_narrative_understanding_annotation,922,Episodic/Episodic-Like Memory,0
abstract_narrative_understanding_annotation,922,Executive Function (EF),2
abstract_narrative_understanding_annotation,922,Functional perception,1
abstract_narrative_understanding_annotation,922,Inhibitory Control,1
abstract_narrative_understanding_annotation,922,Language,1
abstract_narrative_understanding_annotation,922,Mental Simulation,0
abstract_narrative_understanding_annotation,922,Metacognition,2
abstract_narrative_understanding_annotation,922,Object permanence,0
abstract_narrative_understanding_annotation,922,Perception and Pattern Recognition,1
abstract_narrative_understanding_annotation,922,Planning,0
abstract_narrative_understanding_annotation,922,Procedural Memory,0
abstract_narrative_understanding_annotation,922,Prospective Memory,0
abstract_narrative_understanding_annotation,922,Semantic Memory,2
abstract_narrative_understanding_annotation,922,Spatial reasoning and navigation,0
abstract_narrative_understanding_annotation,922,Theory of Mind,2
abstract_narrative_understanding_annotation,922,Working Memory,2
abstract_narrative_understanding_annotation,922,ambiguity,5
abstract_narrative_understanding_annotation,922,factuality,5
