dataset name,sample id,dimension,score
BigBenchHard_annotation,1039,Causal Reasoning,0
BigBenchHard_annotation,1039,Cognitive Flexibility,0
BigBenchHard_annotation,1039,Emotion Perception and Empathy,0
BigBenchHard_annotation,1039,Episodic Memory,0
BigBenchHard_annotation,1039,Functional Perception,1
BigBenchHard_annotation,1039,Inhibitory Control,1
BigBenchHard_annotation,1039,Language,1
BigBenchHard_annotation,1039,Mental Simulation,0
BigBenchHard_annotation,1039,Metacognition,1
BigBenchHard_annotation,1039,Object Permanence,0
BigBenchHard_annotation,1039,Perception and Pattern Recognition,1
BigBenchHard_annotation,1039,Planning,0
BigBenchHard_annotation,1039,Procedural Memory,0
BigBenchHard_annotation,1039,Prospective Memory,0
BigBenchHard_annotation,1039,Semantic Memory,2
BigBenchHard_annotation,1039,Spatial Reasoning and Navigation,0
BigBenchHard_annotation,1039,Theory of Mind,0
BigBenchHard_annotation,1039,Working Memory,0
BigBenchHard_annotation,1039,ambiguity,3
BigBenchHard_annotation,1039,factuality,5
BigBenchHard_annotation,1043,Causal Reasoning,0
BigBenchHard_annotation,1043,Cognitive Flexibility,0
BigBenchHard_annotation,1043,Emotion Perception and Empathy,0
BigBenchHard_annotation,1043,Episodic Memory,0
BigBenchHard_annotation,1043,Functional Perception,1
BigBenchHard_annotation,1043,Inhibitory Control,1
BigBenchHard_annotation,1043,Language,1
BigBenchHard_annotation,1043,Mental Simulation,1
BigBenchHard_annotation,1043,Metacognition,1
BigBenchHard_annotation,1043,Object Permanence,0
BigBenchHard_annotation,1043,Perception and Pattern Recognition,1
BigBenchHard_annotation,1043,Planning,0
BigBenchHard_annotation,1043,Procedural Memory,0
BigBenchHard_annotation,1043,Prospective Memory,0
BigBenchHard_annotation,1043,Semantic Memory,2
BigBenchHard_annotation,1043,Spatial Reasoning and Navigation,0
BigBenchHard_annotation,1043,Theory of Mind,0
BigBenchHard_annotation,1043,Working Memory,1
BigBenchHard_annotation,1043,ambiguity,4
BigBenchHard_annotation,1043,factuality,5
BigBenchHard_annotation,1050,Causal Reasoning,0
BigBenchHard_annotation,1050,Cognitive Flexibility,0
BigBenchHard_annotation,1050,Emotion Perception and Empathy,0
BigBenchHard_annotation,1050,Episodic Memory,0
BigBenchHard_annotation,1050,Functional Perception,1
BigBenchHard_annotation,1050,Inhibitory Control,0
BigBenchHard_annotation,1050,Language,1
BigBenchHard_annotation,1050,Mental Simulation,0
BigBenchHard_annotation,1050,Metacognition,2
BigBenchHard_annotation,1050,Object Permanence,0
BigBenchHard_annotation,1050,Perception and Pattern Recognition,1
BigBenchHard_annotation,1050,Planning,0
BigBenchHard_annotation,1050,Procedural Memory,0
BigBenchHard_annotation,1050,Prospective Memory,0
BigBenchHard_annotation,1050,Semantic Memory,2
BigBenchHard_annotation,1050,Spatial Reasoning and Navigation,1
BigBenchHard_annotation,1050,Theory of Mind,0
BigBenchHard_annotation,1050,Working Memory,0
BigBenchHard_annotation,1050,ambiguity,2
BigBenchHard_annotation,1050,factuality,5
BigBenchHard_annotation,1098,Causal Reasoning,0
BigBenchHard_annotation,1098,Cognitive Flexibility,0
BigBenchHard_annotation,1098,Emotion Perception and Empathy,0
BigBenchHard_annotation,1098,Episodic Memory,0
BigBenchHard_annotation,1098,Functional Perception,1
BigBenchHard_annotation,1098,Inhibitory Control,0
BigBenchHard_annotation,1098,Language,1
BigBenchHard_annotation,1098,Mental Simulation,0
BigBenchHard_annotation,1098,Metacognition,0
BigBenchHard_annotation,1098,Object Permanence,0
BigBenchHard_annotation,1098,Perception and Pattern Recognition,0
BigBenchHard_annotation,1098,Planning,0
BigBenchHard_annotation,1098,Procedural Memory,0
