dataset name,sample id,dimension,score
cause_and_effect_annotation,11,Causal Reasoning,1
cause_and_effect_annotation,11,Cognitive Flexibility,0
cause_and_effect_annotation,11,Emotion Perception & Empathy (EPE),0
cause_and_effect_annotation,11,Episodic/Episodic-Like Memory,0
cause_and_effect_annotation,11,Executive Function (EF),1
cause_and_effect_annotation,11,Functional perception,1
cause_and_effect_annotation,11,Inhibitory Control,1
cause_and_effect_annotation,11,Language,1
cause_and_effect_annotation,11,Mental Simulation,1
cause_and_effect_annotation,11,Metacognition,1
cause_and_effect_annotation,11,Object permanence,0
cause_and_effect_annotation,11,Perception and Pattern Recognition,1
cause_and_effect_annotation,11,Planning,0
cause_and_effect_annotation,11,Procedural Memory,0
cause_and_effect_annotation,11,Prospective Memory,0
cause_and_effect_annotation,11,Semantic Memory,1
cause_and_effect_annotation,11,Spatial reasoning and navigation,0
cause_and_effect_annotation,11,Theory of Mind,0
cause_and_effect_annotation,11,Working Memory,0
cause_and_effect_annotation,11,ambiguity,5
cause_and_effect_annotation,11,factuality,5
cause_and_effect_annotation,16,Causal Reasoning,1
cause_and_effect_annotation,16,Cognitive Flexibility,0
cause_and_effect_annotation,16,Emotion Perception & Empathy (EPE),0
cause_and_effect_annotation,16,Episodic/Episodic-Like Memory,0
cause_and_effect_annotation,16,Executive Function (EF),1
cause_and_effect_annotation,16,Functional perception,1
cause_and_effect_annotation,16,Inhibitory Control,0
cause_and_effect_annotation,16,Language,1
cause_and_effect_annotation,16,Mental Simulation,1
cause_and_effect_annotation,16,Metacognition,1
cause_and_effect_annotation,16,Object permanence,0
cause_and_effect_annotation,16,Perception and Pattern Recognition,1
cause_and_effect_annotation,16,Planning,0
cause_and_effect_annotation,16,Procedural Memory,0
cause_and_effect_annotation,16,Prospective Memory,0
cause_and_effect_annotation,16,Semantic Memory,1
cause_and_effect_annotation,16,Spatial reasoning and navigation,0
cause_and_effect_annotation,16,Theory of Mind,2
cause_and_effect_annotation,16,Working Memory,2
cause_and_effect_annotation,16,ambiguity,5
cause_and_effect_annotation,16,factuality,5
cause_and_effect_annotation,19,Causal Reasoning,1
cause_and_effect_annotation,19,Cognitive Flexibility,0
cause_and_effect_annotation,19,Emotion Perception & Empathy (EPE),0
cause_and_effect_annotation,19,Episodic/Episodic-Like Memory,0
cause_and_effect_annotation,19,Executive Function (EF),0
cause_and_effect_annotation,19,Functional perception,1
cause_and_effect_annotation,19,Inhibitory Control,0
cause_and_effect_annotation,19,Language,1
cause_and_effect_annotation,19,Mental Simulation,1
cause_and_effect_annotation,19,Metacognition,0
cause_and_effect_annotation,19,Object permanence,0
cause_and_effect_annotation,19,Perception and Pattern Recognition,1
cause_and_effect_annotation,19,Planning,0
cause_and_effect_annotation,19,Procedural Memory,0
cause_and_effect_annotation,19,Prospective Memory,0
cause_and_effect_annotation,19,Semantic Memory,1
cause_and_effect_annotation,19,Spatial reasoning and navigation,0
cause_and_effect_annotation,19,Theory of Mind,1
cause_and_effect_annotation,19,Working Memory,2
cause_and_effect_annotation,19,ambiguity,5
cause_and_effect_annotation,19,factuality,5
cause_and_effect_annotation,23,Causal Reasoning,1
cause_and_effect_annotation,23,Cognitive Flexibility,0
cause_and_effect_annotation,23,Emotion Perception & Empathy (EPE),0
cause_and_effect_annotation,23,Episodic/Episodic-Like Memory,0
cause_and_effect_annotation,23,Executive Function (EF),1
cause_and_effect_annotation,23,Functional perception,1
cause_and_effect_annotation,23,Inhibitory Control,1
cause_and_effect_annotation,23,Language,1
cause_and_effect_annotation,23,Mental Simulation,1
cause_and_effect_annotation,23,Metacognition,1
cause_and_effect_annotation,23,Object permanence,0
cause_and_effect_annotation,23,Perception and Pattern Recognition,1
cause_and_effect_annotation,23,Planning,0
cause_and_effect_annotation,23,Procedural Memory,0
cause_and_effect_annotation,23,Prospective Memory,0
cause_and_effect_annotation,23,Semantic Memory,1
cause_and_effect_annotation,23,Spatial reasoning and navigation,1
cause_and_effect_annotation,23,Theory of Mind,0
cause_and_effect_annotation,23,Working Memory,2
cause_and_effect_annotation,23,ambiguity,5
cause_and_effect_annotation,23,factuality,5
cause_and_effect_annotation,25,Causal Reasoning,1
cause_and_effect_annotation,25,Cognitive Flexibility,0
cause_and_effect_annotation,25,Emotion Perception & Empathy (EPE),0
cause_and_effect_annotation,25,Episodic/Episodic-Like Memory,0
cause_and_effect_annotation,25,Executive Function (EF),0
cause_and_effect_annotation,25,Functional perception,1
cause_and_effect_annotation,25,Inhibitory Control,0
cause_and_effect_annotation,25,Language,1
cause_and_effect_annotation,25,Mental Simulation,1
cause_and_effect_annotation,25,Metacognition,1
cause_and_effect_annotation,25,Object permanence,0
cause_and_effect_annotation,25,Perception and Pattern Recognition,1
cause_and_effect_annotation,25,Planning,0
cause_and_effect_annotation,25,Procedural Memory,0
cause_and_effect_annotation,25,Prospective Memory,0
cause_and_effect_annotation,25,Semantic Memory,1
cause_and_effect_annotation,25,Spatial reasoning and navigation,0
cause_and_effect_annotation,25,Theory of Mind,1
cause_and_effect_annotation,25,Working Memory,2
cause_and_effect_annotation,25,ambiguity,5
cause_and_effect_annotation,25,factuality,5
cause_and_effect_annotation,26,Causal Reasoning,1
cause_and_effect_annotation,26,Cognitive Flexibility,0
cause_and_effect_annotation,26,Emotion Perception & Empathy (EPE),0
cause_and_effect_annotation,26,Episodic/Episodic-Like Memory,0
cause_and_effect_annotation,26,Executive Function (EF),1
cause_and_effect_annotation,26,Functional perception,1
cause_and_effect_annotation,26,Inhibitory Control,0
cause_and_effect_annotation,26,Language,1
cause_and_effect_annotation,26,Mental Simulation,1
cause_and_effect_annotation,26,Metacognition,1
cause_and_effect_annotation,26,Object permanence,0
cause_and_effect_annotation,26,Perception and Pattern Recognition,1
cause_and_effect_annotation,26,Planning,0
cause_and_effect_annotation,26,Procedural Memory,0
cause_and_effect_annotation,26,Prospective Memory,0
cause_and_effect_annotation,26,Semantic Memory,2
cause_and_effect_annotation,26,Spatial reasoning and navigation,0
cause_and_effect_annotation,26,Theory of Mind,1
cause_and_effect_annotation,26,Working Memory,0
cause_and_effect_annotation,26,ambiguity,5
cause_and_effect_annotation,26,factuality,5
cause_and_effect_annotation,29,Causal Reasoning,1
cause_and_effect_annotation,29,Cognitive Flexibility,0
cause_and_effect_annotation,29,Emotion Perception & Empathy (EPE),0
cause_and_effect_annotation,29,Episodic/Episodic-Like Memory,0
cause_and_effect_annotation,29,Executive Function (EF),1
cause_and_effect_annotation,29,Functional perception,1
cause_and_effect_annotation,29,Inhibitory Control,0
cause_and_effect_annotation,29,Language,1
cause_and_effect_annotation,29,Mental Simulation,1
cause_and_effect_annotation,29,Metacognition,1
cause_and_effect_annotation,29,Object permanence,0
cause_and_effect_annotation,29,Perception and Pattern Recognition,1
cause_and_effect_annotation,29,Planning,0
cause_and_effect_annotation,29,Procedural Memory,0
cause_and_effect_annotation,29,Prospective Memory,0
cause_and_effect_annotation,29,Semantic Memory,1
cause_and_effect_annotation,29,Spatial reasoning and navigation,0
cause_and_effect_annotation,29,Theory of Mind,0
cause_and_effect_annotation,29,Working Memory,0
cause_and_effect_annotation,29,ambiguity,5
cause_and_effect_annotation,29,factuality,5
cause_and_effect_annotation,45,Causal Reasoning,1
cause_and_effect_annotation,45,Cognitive Flexibility,0
cause_and_effect_annotation,45,Emotion Perception & Empathy (EPE),0
cause_and_effect_annotation,45,Episodic/Episodic-Like Memory,0
cause_and_effect_annotation,45,Executive Function (EF),0
cause_and_effect_annotation,45,Functional perception,1
cause_and_effect_annotation,45,Inhibitory Control,0
cause_and_effect_annotation,45,Language,1
cause_and_effect_annotation,45,Mental Simulation,1
cause_and_effect_annotation,45,Metacognition,1
cause_and_effect_annotation,45,Object permanence,0
cause_and_effect_annotation,45,Perception and Pattern Recognition,1
cause_and_effect_annotation,45,Planning,0
cause_and_effect_annotation,45,Procedural Memory,0
cause_and_effect_annotation,45,Prospective Memory,0
cause_and_effect_annotation,45,Semantic Memory,1
cause_and_effect_annotation,45,Spatial reasoning and navigation,0
cause_and_effect_annotation,45,Theory of Mind,0
cause_and_effect_annotation,45,Working Memory,0
cause_and_effect_annotation,45,ambiguity,5
cause_and_effect_annotation,45,factuality,5
cause_and_effect_annotation,4,Causal Reasoning,1
cause_and_effect_annotation,4,Cognitive Flexibility,0
cause_and_effect_annotation,4,Emotion Perception & Empathy (EPE),0
cause_and_effect_annotation,4,Episodic/Episodic-Like Memory,0
cause_and_effect_annotation,4,Executive Function (EF),0
cause_and_effect_annotation,4,Functional perception,1
cause_and_effect_annotation,4,Inhibitory Control,0
cause_and_effect_annotation,4,Language,1
cause_and_effect_annotation,4,Mental Simulation,1
cause_and_effect_annotation,4,Metacognition,0
cause_and_effect_annotation,4,Object permanence,0
