dataset name,sample id,dimension,score
Crow_annotation,10078,Causal Reasoning,1
Crow_annotation,10078,Cognitive Flexibility,0
Crow_annotation,10078,Emotion Perception and Empathy,0
Crow_annotation,10078,Episodic Memory,0
Crow_annotation,10078,Functional Perception,1
Crow_annotation,10078,Inhibitory Control,1
Crow_annotation,10078,Language,2
Crow_annotation,10078,Mental Simulation,0
Crow_annotation,10078,Metacognition,0
Crow_annotation,10078,Object Permanence,0
Crow_annotation,10078,Perception and Pattern Recognition,1
Crow_annotation,10078,Planning,0
Crow_annotation,10078,Procedural Memory,0
Crow_annotation,10078,Prospective Memory,0
Crow_annotation,10078,Semantic Memory,2
Crow_annotation,10078,Spatial Reasoning and Navigation,1
Crow_annotation,10078,Theory of Mind,1
Crow_annotation,10078,Working Memory,3
Crow_annotation,10078,ambiguity,5
Crow_annotation,10078,factuality,2
Crow_annotation,10092,Causal Reasoning,0
Crow_annotation,10092,Cognitive Flexibility,0
Crow_annotation,10092,Emotion Perception and Empathy,0
Crow_annotation,10092,Episodic Memory,0
Crow_annotation,10092,Functional Perception,0
Crow_annotation,10092,Inhibitory Control,1
Crow_annotation,10092,Language,2
Crow_annotation,10092,Mental Simulation,0
Crow_annotation,10092,Metacognition,0
Crow_annotation,10092,Object Permanence,0
Crow_annotation,10092,Perception and Pattern Recognition,1
Crow_annotation,10092,Planning,0
Crow_annotation,10092,Procedural Memory,0
Crow_annotation,10092,Prospective Memory,0
Crow_annotation,10092,Semantic Memory,3
Crow_annotation,10092,Spatial Reasoning and Navigation,0
Crow_annotation,10092,Theory of Mind,0
Crow_annotation,10092,Working Memory,1
Crow_annotation,10092,ambiguity,5
Crow_annotation,10092,factuality,1
Crow_annotation,10185,Causal Reasoning,1
Crow_annotation,10185,Cognitive Flexibility,1
Crow_annotation,10185,Emotion Perception and Empathy,3
Crow_annotation,10185,Episodic Memory,1
Crow_annotation,10185,Functional Perception,2
Crow_annotation,10185,Inhibitory Control,2
Crow_annotation,10185,Language,2
Crow_annotation,10185,Mental Simulation,1
Crow_annotation,10185,Metacognition,0
Crow_annotation,10185,Object Permanence,0
Crow_annotation,10185,Perception and Pattern Recognition,1
Crow_annotation,10185,Planning,1
Crow_annotation,10185,Procedural Memory,0
Crow_annotation,10185,Prospective Memory,0
Crow_annotation,10185,Semantic Memory,2
Crow_annotation,10185,Spatial Reasoning and Navigation,1
Crow_annotation,10185,Theory of Mind,2
Crow_annotation,10185,Working Memory,3
Crow_annotation,10185,ambiguity,5
Crow_annotation,10185,factuality,5
Crow_annotation,102,Causal Reasoning,0
Crow_annotation,102,Cognitive Flexibility,0
Crow_annotation,102,Emotion Perception and Empathy,1
Crow_annotation,102,Episodic Memory,0
Crow_annotation,102,Functional Perception,0
Crow_annotation,102,Inhibitory Control,2
Crow_annotation,102,Language,1
Crow_annotation,102,Mental Simulation,0
Crow_annotation,102,Metacognition,1
Crow_annotation,102,Object Permanence,0
Crow_annotation,102,Perception and Pattern Recognition,1
Crow_annotation,102,Planning,0
Crow_annotation,102,Procedural Memory,0
Crow_annotation,102,Prospective Memory,0
Crow_annotation,102,Semantic Memory,1
Crow_annotation,102,Spatial Reasoning and Navigation,0
Crow_annotation,102,Theory of Mind,1
Crow_annotation,102,Working Memory,1
Crow_annotation,102,ambiguity,5
Crow_annotation,102,factuality,2
Crow_annotation,10375,Causal Reasoning,1
Crow_annotation,10375,Cognitive Flexibility,2
Crow_annotation,10375,Emotion Perception and Empathy,0
Crow_annotation,10375,Episodic Memory,2
Crow_annotation,10375,Functional Perception,1
Crow_annotation,10375,Inhibitory Control,1
Crow_annotation,10375,Language,2
Crow_annotation,10375,Mental Simulation,0
Crow_annotation,10375,Metacognition,0
Crow_annotation,10375,Object Permanence,0
Crow_annotation,10375,Perception and Pattern Recognition,1
Crow_annotation,10375,Planning,1
Crow_annotation,10375,Procedural Memory,1
Crow_annotation,10375,Prospective Memory,0
Crow_annotation,10375,Semantic Memory,2
Crow_annotation,10375,Spatial Reasoning and Navigation,0
Crow_annotation,10375,Theory of Mind,0
Crow_annotation,10375,Working Memory,2
Crow_annotation,10375,ambiguity,5
Crow_annotation,10375,factuality,2
Crow_annotation,10381,Causal Reasoning,1
Crow_annotation,10381,Cognitive Flexibility,0
Crow_annotation,10381,Emotion Perception and Empathy,0
Crow_annotation,10381,Episodic Memory,1
Crow_annotation,10381,Functional Perception,1
Crow_annotation,10381,Inhibitory Control,0
Crow_annotation,10381,Language,2
Crow_annotation,10381,Mental Simulation,0
Crow_annotation,10381,Metacognition,0
Crow_annotation,10381,Object Permanence,0
Crow_annotation,10381,Perception and Pattern Recognition,0
Crow_annotation,10381,Planning,0
Crow_annotation,10381,Procedural Memory,0
Crow_annotation,10381,Prospective Memory,0
Crow_annotation,10381,Semantic Memory,1
Crow_annotation,10381,Spatial Reasoning and Navigation,0
Crow_annotation,10381,Theory of Mind,1
Crow_annotation,10381,Working Memory,2
Crow_annotation,10381,ambiguity,5
Crow_annotation,10381,factuality,5
Crow_annotation,10389,Causal Reasoning,1
Crow_annotation,10389,Cognitive Flexibility,0
Crow_annotation,10389,Emotion Perception and Empathy,1
Crow_annotation,10389,Episodic Memory,1
Crow_annotation,10389,Functional Perception,0
Crow_annotation,10389,Inhibitory Control,1
Crow_annotation,10389,Language,2
Crow_annotation,10389,Mental Simulation,0
Crow_annotation,10389,Metacognition,1
