dataset name,sample id,dimension,score
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Causal Reasoning,1
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Cognitive Flexibility,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Emotion Perception and Empathy,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Episodic Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Functional Perception,1
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Inhibitory Control,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Language,1
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Mental Simulation,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Metacognition,1
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Object Permanence,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Perception and Pattern Recognition,1
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Planning,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Procedural Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Prospective Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Semantic Memory,1
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Spatial Reasoning and Navigation,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Theory of Mind,0
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,Working Memory,1
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,ambiguity,5
ewok-core/ewok-core-1.0_annotation,ewok_00d40b84_1,factuality,5
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Causal Reasoning,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Cognitive Flexibility,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Emotion Perception and Empathy,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Episodic Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Functional Perception,1
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Inhibitory Control,1
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Language,1
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Mental Simulation,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Metacognition,1
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Object Permanence,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Perception and Pattern Recognition,1
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Planning,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Procedural Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Prospective Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Semantic Memory,1
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Spatial Reasoning and Navigation,1
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Theory of Mind,0
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,Working Memory,2
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,ambiguity,5
ewok-core/ewok-core-1.0_annotation,ewok_01a14f98_2,factuality,5
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Causal Reasoning,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Cognitive Flexibility,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Emotion Perception and Empathy,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Episodic Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Functional Perception,1
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Inhibitory Control,1
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Language,2
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Mental Simulation,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Metacognition,1
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Object Permanence,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Perception and Pattern Recognition,1
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Planning,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Procedural Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Prospective Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Semantic Memory,1
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Spatial Reasoning and Navigation,0
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Theory of Mind,2
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,Working Memory,2
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,ambiguity,5
ewok-core/ewok-core-1.0_annotation,ewok_021d516a_2,factuality,5
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Causal Reasoning,1
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Cognitive Flexibility,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Emotion Perception and Empathy,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Episodic Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Functional Perception,1
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Inhibitory Control,1
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Language,1
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Mental Simulation,1
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Metacognition,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Object Permanence,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Perception and Pattern Recognition,1
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Planning,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Procedural Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Prospective Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Semantic Memory,1
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Spatial Reasoning and Navigation,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Theory of Mind,0
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,Working Memory,1
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,ambiguity,5
ewok-core/ewok-core-1.0_annotation,ewok_03fda09b_2,factuality,5
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Causal Reasoning,1
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Cognitive Flexibility,0
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Emotion Perception and Empathy,0
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Episodic Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Functional Perception,1
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Inhibitory Control,1
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Language,1
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Mental Simulation,1
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Metacognition,1
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Object Permanence,0
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Perception and Pattern Recognition,1
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Planning,0
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Procedural Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Prospective Memory,0
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Semantic Memory,1
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Spatial Reasoning and Navigation,1
ewok-core/ewok-core-1.0_annotation,ewok_05c8f38e_1,Theory of Mind,0
