dataset name,sample id,dimension,score
EmoBench_annotation,ea_100_zh,Causal Reasoning,1
EmoBench_annotation,ea_100_zh,Cognitive Flexibility,2
EmoBench_annotation,ea_100_zh,Emotion Perception and Empathy,2
EmoBench_annotation,ea_100_zh,Episodic Memory,0
EmoBench_annotation,ea_100_zh,Functional Perception,3
EmoBench_annotation,ea_100_zh,Inhibitory Control,3
EmoBench_annotation,ea_100_zh,Language,2
EmoBench_annotation,ea_100_zh,Mental Simulation,1
EmoBench_annotation,ea_100_zh,Metacognition,3
EmoBench_annotation,ea_100_zh,Object Permanence,0
EmoBench_annotation,ea_100_zh,Perception and Pattern Recognition,1
EmoBench_annotation,ea_100_zh,Planning,1
EmoBench_annotation,ea_100_zh,Procedural Memory,0
EmoBench_annotation,ea_100_zh,Prospective Memory,0
EmoBench_annotation,ea_100_zh,Semantic Memory,3
EmoBench_annotation,ea_100_zh,Spatial Reasoning and Navigation,0
EmoBench_annotation,ea_100_zh,Theory of Mind,2
EmoBench_annotation,ea_100_zh,Working Memory,2
EmoBench_annotation,ea_100_zh,ambiguity,5
EmoBench_annotation,ea_100_zh,factuality,5
EmoBench_annotation,ea_105_en,Causal Reasoning,1
EmoBench_annotation,ea_105_en,Cognitive Flexibility,0
EmoBench_annotation,ea_105_en,Emotion Perception and Empathy,1
EmoBench_annotation,ea_105_en,Episodic Memory,0
EmoBench_annotation,ea_105_en,Functional Perception,1
EmoBench_annotation,ea_105_en,Inhibitory Control,1
EmoBench_annotation,ea_105_en,Language,1
EmoBench_annotation,ea_105_en,Mental Simulation,2
EmoBench_annotation,ea_105_en,Metacognition,2
EmoBench_annotation,ea_105_en,Object Permanence,0
EmoBench_annotation,ea_105_en,Perception and Pattern Recognition,1
EmoBench_annotation,ea_105_en,Planning,1
EmoBench_annotation,ea_105_en,Procedural Memory,2
EmoBench_annotation,ea_105_en,Prospective Memory,0
EmoBench_annotation,ea_105_en,Semantic Memory,2
EmoBench_annotation,ea_105_en,Spatial Reasoning and Navigation,0
EmoBench_annotation,ea_105_en,Theory of Mind,0
EmoBench_annotation,ea_105_en,Working Memory,1
EmoBench_annotation,ea_105_en,ambiguity,5
EmoBench_annotation,ea_105_en,factuality,5
EmoBench_annotation,ea_105_zh,Causal Reasoning,2
