dataset name,sample id,dimension,score
fantasy_reasoning_annotation,0,Causal Reasoning,1
fantasy_reasoning_annotation,0,Cognitive Flexibility,0
fantasy_reasoning_annotation,0,Emotion Perception and Empathy,0
fantasy_reasoning_annotation,0,Episodic Memory,0
fantasy_reasoning_annotation,0,Functional Perception,1
fantasy_reasoning_annotation,0,Inhibitory Control,1
fantasy_reasoning_annotation,0,Language,2
fantasy_reasoning_annotation,0,Mental Simulation,1
fantasy_reasoning_annotation,0,Metacognition,1
fantasy_reasoning_annotation,0,Object Permanence,0
fantasy_reasoning_annotation,0,Perception and Pattern Recognition,1
fantasy_reasoning_annotation,0,Planning,0
fantasy_reasoning_annotation,0,Procedural Memory,0
fantasy_reasoning_annotation,0,Prospective Memory,0
fantasy_reasoning_annotation,0,Semantic Memory,2
fantasy_reasoning_annotation,0,Spatial Reasoning and Navigation,0
fantasy_reasoning_annotation,0,Theory of Mind,0
fantasy_reasoning_annotation,0,Working Memory,0
fantasy_reasoning_annotation,0,ambiguity,5
fantasy_reasoning_annotation,0,factuality,5
fantasy_reasoning_annotation,100,Causal Reasoning,0
fantasy_reasoning_annotation,100,Cognitive Flexibility,1
fantasy_reasoning_annotation,100,Emotion Perception and Empathy,0
fantasy_reasoning_annotation,100,Episodic Memory,0
fantasy_reasoning_annotation,100,Functional Perception,1
fantasy_reasoning_annotation,100,Inhibitory Control,0
fantasy_reasoning_annotation,100,Language,1
fantasy_reasoning_annotation,100,Mental Simulation,1
fantasy_reasoning_annotation,100,Metacognition,1
fantasy_reasoning_annotation,100,Object Permanence,0
fantasy_reasoning_annotation,100,Perception and Pattern Recognition,2
fantasy_reasoning_annotation,100,Planning,0
fantasy_reasoning_annotation,100,Procedural Memory,0
fantasy_reasoning_annotation,100,Prospective Memory,0
fantasy_reasoning_annotation,100,Semantic Memory,2
fantasy_reasoning_annotation,100,Spatial Reasoning and Navigation,0
fantasy_reasoning_annotation,100,Theory of Mind,3
fantasy_reasoning_annotation,100,Working Memory,0
fantasy_reasoning_annotation,100,ambiguity,5
fantasy_reasoning_annotation,100,factuality,1
fantasy_reasoning_annotation,101,Causal Reasoning,0
fantasy_reasoning_annotation,101,Cognitive Flexibility,0
fantasy_reasoning_annotation,101,Emotion Perception and Empathy,0
fantasy_reasoning_annotation,101,Episodic Memory,0
fantasy_reasoning_annotation,101,Functional Perception,0
fantasy_reasoning_annotation,101,Inhibitory Control,1
fantasy_reasoning_annotation,101,Language,1
fantasy_reasoning_annotation,101,Mental Simulation,0
fantasy_reasoning_annotation,101,Metacognition,1
fantasy_reasoning_annotation,101,Object Permanence,0
fantasy_reasoning_annotation,101,Perception and Pattern Recognition,2
fantasy_reasoning_annotation,101,Planning,0
fantasy_reasoning_annotation,101,Procedural Memory,0
fantasy_reasoning_annotation,101,Prospective Memory,0
fantasy_reasoning_annotation,101,Semantic Memory,2
fantasy_reasoning_annotation,101,Spatial Reasoning and Navigation,0
fantasy_reasoning_annotation,101,Theory of Mind,0
fantasy_reasoning_annotation,101,Working Memory,0
fantasy_reasoning_annotation,101,ambiguity,5
fantasy_reasoning_annotation,101,factuality,1
fantasy_reasoning_annotation,102,Causal Reasoning,1
fantasy_reasoning_annotation,102,Cognitive Flexibility,0
fantasy_reasoning_annotation,102,Emotion Perception and Empathy,0
fantasy_reasoning_annotation,102,Episodic Memory,0
fantasy_reasoning_annotation,102,Functional Perception,1
fantasy_reasoning_annotation,102,Inhibitory Control,0
fantasy_reasoning_annotation,102,Language,1
fantasy_reasoning_annotation,102,Mental Simulation,0
fantasy_reasoning_annotation,102,Metacognition,1
fantasy_reasoning_annotation,102,Object Permanence,0
fantasy_reasoning_annotation,102,Perception and Pattern Recognition,1
fantasy_reasoning_annotation,102,Planning,0
fantasy_reasoning_annotation,102,Procedural Memory,0
fantasy_reasoning_annotation,102,Prospective Memory,0
fantasy_reasoning_annotation,102,Semantic Memory,3
fantasy_reasoning_annotation,102,Spatial Reasoning and Navigation,0
fantasy_reasoning_annotation,102,Theory of Mind,1
fantasy_reasoning_annotation,102,Working Memory,1
fantasy_reasoning_annotation,102,ambiguity,4
fantasy_reasoning_annotation,102,factuality,5
fantasy_reasoning_annotation,103,Causal Reasoning,1
fantasy_reasoning_annotation,103,Cognitive Flexibility,0
fantasy_reasoning_annotation,103,Emotion Perception and Empathy,0
fantasy_reasoning_annotation,103,Episodic Memory,0
fantasy_reasoning_annotation,103,Functional Perception,1
fantasy_reasoning_annotation,103,Inhibitory Control,1
fantasy_reasoning_annotation,103,Language,1
fantasy_reasoning_annotation,103,Mental Simulation,0
fantasy_reasoning_annotation,103,Metacognition,1
fantasy_reasoning_annotation,103,Object Permanence,0
