dataset name,sample id,dimension,score
Fantom_annotation,1047,Causal Reasoning,0
Fantom_annotation,1047,Cognitive Flexibility,0
Fantom_annotation,1047,Emotion Perception and Empathy,0
Fantom_annotation,1047,Episodic Memory,0
Fantom_annotation,1047,Functional Perception,0
Fantom_annotation,1047,Inhibitory Control,3
Fantom_annotation,1047,Language,2
Fantom_annotation,1047,Mental Simulation,0
Fantom_annotation,1047,Metacognition,1
Fantom_annotation,1047,Object Permanence,0
Fantom_annotation,1047,Perception and Pattern Recognition,2
Fantom_annotation,1047,Planning,0
Fantom_annotation,1047,Procedural Memory,0
Fantom_annotation,1047,Prospective Memory,0
Fantom_annotation,1047,Semantic Memory,1
Fantom_annotation,1047,Spatial Reasoning and Navigation,0
Fantom_annotation,1047,Theory of Mind,0
Fantom_annotation,1047,Working Memory,1
Fantom_annotation,1047,ambiguity,4
Fantom_annotation,1047,factuality,5
Fantom_annotation,1097,Causal Reasoning,1
Fantom_annotation,1097,Cognitive Flexibility,0
Fantom_annotation,1097,Emotion Perception and Empathy,0
Fantom_annotation,1097,Episodic Memory,1
Fantom_annotation,1097,Functional Perception,1
Fantom_annotation,1097,Inhibitory Control,1
Fantom_annotation,1097,Language,2
Fantom_annotation,1097,Mental Simulation,1
Fantom_annotation,1097,Metacognition,1
Fantom_annotation,1097,Object Permanence,1
Fantom_annotation,1097,Perception and Pattern Recognition,1
Fantom_annotation,1097,Planning,0
Fantom_annotation,1097,Procedural Memory,0
Fantom_annotation,1097,Prospective Memory,2
Fantom_annotation,1097,Semantic Memory,1
Fantom_annotation,1097,Spatial Reasoning and Navigation,0
Fantom_annotation,1097,Theory of Mind,1
Fantom_annotation,1097,Working Memory,2
Fantom_annotation,1097,ambiguity,5
Fantom_annotation,1097,factuality,2
Fantom_annotation,112,Causal Reasoning,0
Fantom_annotation,112,Cognitive Flexibility,0
Fantom_annotation,112,Emotion Perception and Empathy,0
Fantom_annotation,112,Episodic Memory,1
Fantom_annotation,112,Functional Perception,0
Fantom_annotation,112,Inhibitory Control,1
Fantom_annotation,112,Language,1
Fantom_annotation,112,Mental Simulation,0
Fantom_annotation,112,Metacognition,0
Fantom_annotation,112,Object Permanence,0
Fantom_annotation,112,Perception and Pattern Recognition,1
Fantom_annotation,112,Planning,0
Fantom_annotation,112,Procedural Memory,0
Fantom_annotation,112,Prospective Memory,0
Fantom_annotation,112,Semantic Memory,1
Fantom_annotation,112,Spatial Reasoning and Navigation,0
Fantom_annotation,112,Theory of Mind,1
Fantom_annotation,112,Working Memory,1
Fantom_annotation,112,ambiguity,5
Fantom_annotation,112,factuality,5
Fantom_annotation,1229,Causal Reasoning,1
Fantom_annotation,1229,Cognitive Flexibility,2
Fantom_annotation,1229,Emotion Perception and Empathy,0
Fantom_annotation,1229,Episodic Memory,2
Fantom_annotation,1229,Functional Perception,2
Fantom_annotation,1229,Inhibitory Control,1
Fantom_annotation,1229,Language,2
Fantom_annotation,1229,Mental Simulation,1
Fantom_annotation,1229,Metacognition,2
Fantom_annotation,1229,Object Permanence,1
Fantom_annotation,1229,Perception and Pattern Recognition,3
Fantom_annotation,1229,Planning,1
Fantom_annotation,1229,Procedural Memory,0
Fantom_annotation,1229,Prospective Memory,1
Fantom_annotation,1229,Semantic Memory,1
Fantom_annotation,1229,Spatial Reasoning and Navigation,0
Fantom_annotation,1229,Theory of Mind,2
Fantom_annotation,1229,Working Memory,1
Fantom_annotation,1229,ambiguity,3
Fantom_annotation,1229,factuality,5
Fantom_annotation,1231,Causal Reasoning,0
Fantom_annotation,1231,Cognitive Flexibility,0
Fantom_annotation,1231,Emotion Perception and Empathy,0
Fantom_annotation,1231,Episodic Memory,1
Fantom_annotation,1231,Functional Perception,1
Fantom_annotation,1231,Inhibitory Control,2
Fantom_annotation,1231,Language,1
Fantom_annotation,1231,Mental Simulation,0
Fantom_annotation,1231,Metacognition,1
Fantom_annotation,1231,Object Permanence,0
Fantom_annotation,1231,Perception and Pattern Recognition,1
Fantom_annotation,1231,Planning,0
Fantom_annotation,1231,Procedural Memory,0
Fantom_annotation,1231,Prospective Memory,2
Fantom_annotation,1231,Semantic Memory,1
Fantom_annotation,1231,Spatial Reasoning and Navigation,0
Fantom_annotation,1231,Theory of Mind,2
Fantom_annotation,1231,Working Memory,2
Fantom_annotation,1231,ambiguity,4
Fantom_annotation,1231,factuality,5
Fantom_annotation,1256,Causal Reasoning,1
Fantom_annotation,1256,Cognitive Flexibility,1
Fantom_annotation,1256,Emotion Perception and Empathy,0
Fantom_annotation,1256,Episodic Memory,0
Fantom_annotation,1256,Functional Perception,0
Fantom_annotation,1256,Inhibitory Control,0
Fantom_annotation,1256,Language,1
Fantom_annotation,1256,Mental Simulation,0
Fantom_annotation,1256,Metacognition,2
Fantom_annotation,1256,Object Permanence,1
Fantom_annotation,1256,Perception and Pattern Recognition,1
Fantom_annotation,1256,Planning,0
Fantom_annotation,1256,Procedural Memory,0
Fantom_annotation,1256,Prospective Memory,0
Fantom_annotation,1256,Semantic Memory,1
Fantom_annotation,1256,Spatial Reasoning and Navigation,0
Fantom_annotation,1256,Theory of Mind,1
Fantom_annotation,1256,Working Memory,1
Fantom_annotation,1256,ambiguity,4
Fantom_annotation,1256,factuality,5
Fantom_annotation,1264,Causal Reasoning,1
Fantom_annotation,1264,Cognitive Flexibility,2
