dataset name,sample id,dimension,score
intuit_annotation,1017,Causal Reasoning,1
intuit_annotation,1017,Cognitive Flexibility,0
intuit_annotation,1017,Emotion Perception and Empathy,0
intuit_annotation,1017,Episodic Memory,0
intuit_annotation,1017,Functional Perception,1
intuit_annotation,1017,Inhibitory Control,1
intuit_annotation,1017,Language,1
intuit_annotation,1017,Mental Simulation,0
intuit_annotation,1017,Metacognition,1
intuit_annotation,1017,Object Permanence,0
intuit_annotation,1017,Perception and Pattern Recognition,1
intuit_annotation,1017,Planning,0
intuit_annotation,1017,Procedural Memory,0
intuit_annotation,1017,Prospective Memory,0
intuit_annotation,1017,Semantic Memory,1
intuit_annotation,1017,Spatial Reasoning and Navigation,0
intuit_annotation,1017,Theory of Mind,1
intuit_annotation,1017,Working Memory,2
intuit_annotation,1017,ambiguity,5
intuit_annotation,1017,factuality,5
intuit_annotation,1062,Causal Reasoning,1
intuit_annotation,1062,Cognitive Flexibility,0
intuit_annotation,1062,Emotion Perception and Empathy,2
intuit_annotation,1062,Episodic Memory,0
intuit_annotation,1062,Functional Perception,1
intuit_annotation,1062,Inhibitory Control,1
intuit_annotation,1062,Language,2
intuit_annotation,1062,Mental Simulation,0
intuit_annotation,1062,Metacognition,1
intuit_annotation,1062,Object Permanence,0
intuit_annotation,1062,Perception and Pattern Recognition,1
intuit_annotation,1062,Planning,0
intuit_annotation,1062,Procedural Memory,0
intuit_annotation,1062,Prospective Memory,0
intuit_annotation,1062,Semantic Memory,3
intuit_annotation,1062,Spatial Reasoning and Navigation,0
intuit_annotation,1062,Theory of Mind,1
intuit_annotation,1062,Working Memory,1
intuit_annotation,1062,ambiguity,3
intuit_annotation,1062,factuality,5
intuit_annotation,1090,Causal Reasoning,1
intuit_annotation,1090,Cognitive Flexibility,2
intuit_annotation,1090,Emotion Perception and Empathy,2
intuit_annotation,1090,Episodic Memory,1
intuit_annotation,1090,Functional Perception,1
intuit_annotation,1090,Inhibitory Control,1
intuit_annotation,1090,Language,2
intuit_annotation,1090,Mental Simulation,1
