dataset name,sample id,dimension,score
known_unknowns_annotation,0,Causal Reasoning,0
known_unknowns_annotation,0,Cognitive Flexibility,0
known_unknowns_annotation,0,Emotion Perception & Empathy (EPE),0
known_unknowns_annotation,0,Episodic/Episodic-Like Memory,0
known_unknowns_annotation,0,Executive Function (EF),0
known_unknowns_annotation,0,Functional perception,0
known_unknowns_annotation,0,Inhibitory Control,0
known_unknowns_annotation,0,Language,1
known_unknowns_annotation,0,Mental Simulation,0
known_unknowns_annotation,0,Metacognition,1
known_unknowns_annotation,0,Object permanence,0
known_unknowns_annotation,0,Perception and Pattern Recognition,0
known_unknowns_annotation,0,Planning,0
known_unknowns_annotation,0,Procedural Memory,0
known_unknowns_annotation,0,Prospective Memory,0
known_unknowns_annotation,0,Semantic Memory,1
known_unknowns_annotation,0,Spatial reasoning and navigation,0
known_unknowns_annotation,0,Theory of Mind,0
known_unknowns_annotation,0,Working Memory,0
known_unknowns_annotation,10,Causal Reasoning,0
known_unknowns_annotation,10,Cognitive Flexibility,0
known_unknowns_annotation,10,Emotion Perception & Empathy (EPE),0
known_unknowns_annotation,10,Episodic/Episodic-Like Memory,0
known_unknowns_annotation,10,Executive Function (EF),1
known_unknowns_annotation,10,Functional perception,0
known_unknowns_annotation,10,Inhibitory Control,1
known_unknowns_annotation,10,Language,1
known_unknowns_annotation,10,Mental Simulation,0
known_unknowns_annotation,10,Metacognition,1
known_unknowns_annotation,10,Object permanence,0
known_unknowns_annotation,10,Perception and Pattern Recognition,0
known_unknowns_annotation,10,Planning,0
known_unknowns_annotation,10,Procedural Memory,0
known_unknowns_annotation,10,Prospective Memory,0
known_unknowns_annotation,10,Semantic Memory,3
known_unknowns_annotation,10,Spatial reasoning and navigation,0
known_unknowns_annotation,10,Theory of Mind,0
known_unknowns_annotation,10,Working Memory,0
known_unknowns_annotation,11,Causal Reasoning,0
known_unknowns_annotation,11,Cognitive Flexibility,0
known_unknowns_annotation,11,Emotion Perception & Empathy (EPE),0
known_unknowns_annotation,11,Episodic/Episodic-Like Memory,0
known_unknowns_annotation,11,Executive Function (EF),1
known_unknowns_annotation,11,Functional perception,0
