dataset name,sample id,dimension,score
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Causal Reasoning,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Cognitive Flexibility,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Emotion Perception and Empathy,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Episodic Memory,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Functional Perception,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Inhibitory Control,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Language,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Mental Simulation,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Metacognition,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Object Permanence,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Perception and Pattern Recognition,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Planning,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Procedural Memory,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Prospective Memory,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Semantic Memory,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Spatial Reasoning and Navigation,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Theory of Mind,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,Working Memory,4
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,ambiguity,5
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_2d060908,factuality,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Causal Reasoning,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Cognitive Flexibility,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Emotion Perception and Empathy,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Episodic Memory,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Functional Perception,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Inhibitory Control,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Language,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Mental Simulation,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Metacognition,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Object Permanence,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Perception and Pattern Recognition,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Planning,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Procedural Memory,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Prospective Memory,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Semantic Memory,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Spatial Reasoning and Navigation,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Theory of Mind,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,Working Memory,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,ambiguity,4
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_49d78dca,factuality,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Causal Reasoning,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Cognitive Flexibility,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Emotion Perception and Empathy,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Episodic Memory,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Functional Perception,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Inhibitory Control,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Language,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Mental Simulation,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Metacognition,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Object Permanence,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Perception and Pattern Recognition,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Planning,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Procedural Memory,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Prospective Memory,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Semantic Memory,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Spatial Reasoning and Navigation,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Theory of Mind,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,Working Memory,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,ambiguity,5
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_4b39c28b,factuality,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Causal Reasoning,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Cognitive Flexibility,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Emotion Perception and Empathy,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Episodic Memory,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Functional Perception,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Inhibitory Control,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Language,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Mental Simulation,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Metacognition,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Object Permanence,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Perception and Pattern Recognition,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Planning,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Procedural Memory,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Prospective Memory,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Semantic Memory,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Spatial Reasoning and Navigation,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Theory of Mind,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,Working Memory,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,ambiguity,5
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_545fbf75,factuality,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Causal Reasoning,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Cognitive Flexibility,1
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Emotion Perception and Empathy,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Episodic Memory,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Functional Perception,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Inhibitory Control,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Language,0
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Mental Simulation,2
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Metacognition,3
salem-mbzuai/LLM-BabyBench_annotation,babybench_decompose_801dfb1b,Object Permanence,2
