dataset name,sample id,dimension,score
MacGyver_annotation,1002,Causal Reasoning,1
MacGyver_annotation,1002,Cognitive Flexibility,0
MacGyver_annotation,1002,Emotion Perception and Empathy,0
MacGyver_annotation,1002,Episodic Memory,0
MacGyver_annotation,1002,Functional Perception,2
MacGyver_annotation,1002,Inhibitory Control,1
MacGyver_annotation,1002,Language,2
MacGyver_annotation,1002,Mental Simulation,1
MacGyver_annotation,1002,Metacognition,1
MacGyver_annotation,1002,Object Permanence,0
MacGyver_annotation,1002,Perception and Pattern Recognition,2
MacGyver_annotation,1002,Planning,0
MacGyver_annotation,1002,Procedural Memory,0
MacGyver_annotation,1002,Prospective Memory,0
MacGyver_annotation,1002,Semantic Memory,3
MacGyver_annotation,1002,Spatial Reasoning and Navigation,0
MacGyver_annotation,1002,Theory of Mind,0
MacGyver_annotation,1002,Working Memory,0
MacGyver_annotation,1002,ambiguity,5
MacGyver_annotation,1002,factuality,5
MacGyver_annotation,1003,Causal Reasoning,1
MacGyver_annotation,1003,Cognitive Flexibility,1
MacGyver_annotation,1003,Emotion Perception and Empathy,0
MacGyver_annotation,1003,Episodic Memory,0
MacGyver_annotation,1003,Functional Perception,3
MacGyver_annotation,1003,Inhibitory Control,2
MacGyver_annotation,1003,Language,2
MacGyver_annotation,1003,Mental Simulation,1
MacGyver_annotation,1003,Metacognition,1
MacGyver_annotation,1003,Object Permanence,0
MacGyver_annotation,1003,Perception and Pattern Recognition,1
MacGyver_annotation,1003,Planning,0
MacGyver_annotation,1003,Procedural Memory,2
MacGyver_annotation,1003,Prospective Memory,0
MacGyver_annotation,1003,Semantic Memory,3
MacGyver_annotation,1003,Spatial Reasoning and Navigation,0
MacGyver_annotation,1003,Theory of Mind,0
MacGyver_annotation,1003,Working Memory,2
MacGyver_annotation,1003,ambiguity,5
MacGyver_annotation,1003,factuality,5
MacGyver_annotation,1004,Causal Reasoning,2
MacGyver_annotation,1004,Cognitive Flexibility,2
MacGyver_annotation,1004,Emotion Perception and Empathy,0
MacGyver_annotation,1004,Episodic Memory,0
MacGyver_annotation,1004,Functional Perception,3
MacGyver_annotation,1004,Inhibitory Control,1
MacGyver_annotation,1004,Language,2
MacGyver_annotation,1004,Mental Simulation,2
MacGyver_annotation,1004,Metacognition,3
MacGyver_annotation,1004,Object Permanence,0
MacGyver_annotation,1004,Perception and Pattern Recognition,2
MacGyver_annotation,1004,Planning,1
MacGyver_annotation,1004,Procedural Memory,3
MacGyver_annotation,1004,Prospective Memory,0
MacGyver_annotation,1004,Semantic Memory,2
MacGyver_annotation,1004,Spatial Reasoning and Navigation,2
MacGyver_annotation,1004,Theory of Mind,0
MacGyver_annotation,1004,Working Memory,2
MacGyver_annotation,1004,ambiguity,4
MacGyver_annotation,1004,factuality,5
MacGyver_annotation,1016,Causal Reasoning,1
MacGyver_annotation,1016,Cognitive Flexibility,2
MacGyver_annotation,1016,Emotion Perception and Empathy,0
MacGyver_annotation,1016,Episodic Memory,0
MacGyver_annotation,1016,Functional Perception,3
MacGyver_annotation,1016,Inhibitory Control,0
MacGyver_annotation,1016,Language,2
MacGyver_annotation,1016,Mental Simulation,1
MacGyver_annotation,1016,Metacognition,2
MacGyver_annotation,1016,Object Permanence,0
MacGyver_annotation,1016,Perception and Pattern Recognition,1
MacGyver_annotation,1016,Planning,1
MacGyver_annotation,1016,Procedural Memory,2
MacGyver_annotation,1016,Prospective Memory,0
MacGyver_annotation,1016,Semantic Memory,2
MacGyver_annotation,1016,Spatial Reasoning and Navigation,1
MacGyver_annotation,1016,Theory of Mind,0
MacGyver_annotation,1016,Working Memory,2
MacGyver_annotation,1016,ambiguity,5
MacGyver_annotation,1016,factuality,4
MacGyver_annotation,1024,Causal Reasoning,1
MacGyver_annotation,1024,Cognitive Flexibility,2
MacGyver_annotation,1024,Emotion Perception and Empathy,0
MacGyver_annotation,1024,Episodic Memory,0
MacGyver_annotation,1024,Functional Perception,4
MacGyver_annotation,1024,Inhibitory Control,0
MacGyver_annotation,1024,Language,2
MacGyver_annotation,1024,Mental Simulation,2
MacGyver_annotation,1024,Metacognition,3
MacGyver_annotation,1024,Object Permanence,1
MacGyver_annotation,1024,Perception and Pattern Recognition,2
MacGyver_annotation,1024,Planning,1
MacGyver_annotation,1024,Procedural Memory,2
MacGyver_annotation,1024,Prospective Memory,0
MacGyver_annotation,1024,Semantic Memory,2
MacGyver_annotation,1024,Spatial Reasoning and Navigation,2
MacGyver_annotation,1024,Theory of Mind,0
MacGyver_annotation,1024,Working Memory,2
MacGyver_annotation,1024,ambiguity,5
MacGyver_annotation,1024,factuality,5
MacGyver_annotation,1032,Causal Reasoning,2
MacGyver_annotation,1032,Cognitive Flexibility,2
MacGyver_annotation,1032,Emotion Perception and Empathy,0
MacGyver_annotation,1032,Episodic Memory,0
MacGyver_annotation,1032,Functional Perception,3
MacGyver_annotation,1032,Inhibitory Control,2
MacGyver_annotation,1032,Language,2
MacGyver_annotation,1032,Mental Simulation,2
MacGyver_annotation,1032,Metacognition,3
MacGyver_annotation,1032,Object Permanence,1
MacGyver_annotation,1032,Perception and Pattern Recognition,2
MacGyver_annotation,1032,Planning,2
MacGyver_annotation,1032,Procedural Memory,2
MacGyver_annotation,1032,Prospective Memory,1
MacGyver_annotation,1032,Semantic Memory,2
MacGyver_annotation,1032,Spatial Reasoning and Navigation,2
MacGyver_annotation,1032,Theory of Mind,0
MacGyver_annotation,1032,Working Memory,1
MacGyver_annotation,1032,ambiguity,4
MacGyver_annotation,1032,factuality,5
MacGyver_annotation,1049,Causal Reasoning,1
MacGyver_annotation,1049,Cognitive Flexibility,2
MacGyver_annotation,1049,Emotion Perception and Empathy,0
MacGyver_annotation,1049,Episodic Memory,0
MacGyver_annotation,1049,Functional Perception,4
MacGyver_annotation,1049,Inhibitory Control,2
MacGyver_annotation,1049,Language,2
MacGyver_annotation,1049,Mental Simulation,2
MacGyver_annotation,1049,Metacognition,3
MacGyver_annotation,1049,Object Permanence,0
MacGyver_annotation,1049,Perception and Pattern Recognition,3
MacGyver_annotation,1049,Planning,2
MacGyver_annotation,1049,Procedural Memory,2
MacGyver_annotation,1049,Prospective Memory,0
MacGyver_annotation,1049,Semantic Memory,2
MacGyver_annotation,1049,Spatial Reasoning and Navigation,2
MacGyver_annotation,1049,Theory of Mind,0
MacGyver_annotation,1049,Working Memory,3
MacGyver_annotation,1049,ambiguity,5
MacGyver_annotation,1049,factuality,4
MacGyver_annotation,1053,Causal Reasoning,1
MacGyver_annotation,1053,Cognitive Flexibility,3
MacGyver_annotation,1053,Emotion Perception and Empathy,0
MacGyver_annotation,1053,Episodic Memory,0
MacGyver_annotation,1053,Functional Perception,4
MacGyver_annotation,1053,Inhibitory Control,1
MacGyver_annotation,1053,Language,2
MacGyver_annotation,1053,Mental Simulation,2
MacGyver_annotation,1053,Metacognition,2
MacGyver_annotation,1053,Object Permanence,0
MacGyver_annotation,1053,Perception and Pattern Recognition,3
MacGyver_annotation,1053,Planning,2
MacGyver_annotation,1053,Procedural Memory,2
MacGyver_annotation,1053,Prospective Memory,0
MacGyver_annotation,1053,Semantic Memory,2
MacGyver_annotation,1053,Spatial Reasoning and Navigation,3
MacGyver_annotation,1053,Theory of Mind,0
MacGyver_annotation,1053,Working Memory,3
MacGyver_annotation,1053,ambiguity,4
MacGyver_annotation,1053,factuality,5
MacGyver_annotation,1068,Causal Reasoning,1
MacGyver_annotation,1068,Cognitive Flexibility,3
MacGyver_annotation,1068,Emotion Perception and Empathy,0
MacGyver_annotation,1068,Episodic Memory,0
MacGyver_annotation,1068,Functional Perception,3
MacGyver_annotation,1068,Inhibitory Control,3
MacGyver_annotation,1068,Language,2
MacGyver_annotation,1068,Mental Simulation,2
MacGyver_annotation,1068,Metacognition,3
MacGyver_annotation,1068,Object Permanence,0
MacGyver_annotation,1068,Perception and Pattern Recognition,3
MacGyver_annotation,1068,Planning,1
MacGyver_annotation,1068,Procedural Memory,2
MacGyver_annotation,1068,Prospective Memory,0
MacGyver_annotation,1068,Semantic Memory,2
MacGyver_annotation,1068,Spatial Reasoning and Navigation,2
MacGyver_annotation,1068,Theory of Mind,0
MacGyver_annotation,1068,Working Memory,3
MacGyver_annotation,1068,ambiguity,5
MacGyver_annotation,1068,factuality,4
MacGyver_annotation,1114,Causal Reasoning,1
MacGyver_annotation,1114,Cognitive Flexibility,3
MacGyver_annotation,1114,Emotion Perception and Empathy,0
MacGyver_annotation,1114,Episodic Memory,0
MacGyver_annotation,1114,Functional Perception,3
MacGyver_annotation,1114,Inhibitory Control,2
MacGyver_annotation,1114,Language,2
MacGyver_annotation,1114,Mental Simulation,1
MacGyver_annotation,1114,Metacognition,2
MacGyver_annotation,1114,Object Permanence,0
MacGyver_annotation,1114,Perception and Pattern Recognition,3
MacGyver_annotation,1114,Planning,1
MacGyver_annotation,1114,Procedural Memory,1
MacGyver_annotation,1114,Prospective Memory,0
MacGyver_annotation,1114,Semantic Memory,2
MacGyver_annotation,1114,Spatial Reasoning and Navigation,2
MacGyver_annotation,1114,Theory of Mind,0
MacGyver_annotation,1114,Working Memory,3
MacGyver_annotation,1114,ambiguity,5
MacGyver_annotation,1114,factuality,5
