dataset name,sample id,dimension,score
socialnormdataset/social_annotation,socialnorm_01e4c84f,Causal Reasoning,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Cognitive Flexibility,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Emotion Perception and Empathy,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Episodic Memory,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Functional Perception,1
socialnormdataset/social_annotation,socialnorm_01e4c84f,Inhibitory Control,1
socialnormdataset/social_annotation,socialnorm_01e4c84f,Language,1
socialnormdataset/social_annotation,socialnorm_01e4c84f,Mental Simulation,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Metacognition,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Object Permanence,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Perception and Pattern Recognition,1
socialnormdataset/social_annotation,socialnorm_01e4c84f,Planning,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Procedural Memory,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Prospective Memory,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Semantic Memory,1
socialnormdataset/social_annotation,socialnorm_01e4c84f,Spatial Reasoning and Navigation,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Theory of Mind,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,Working Memory,0
socialnormdataset/social_annotation,socialnorm_01e4c84f,ambiguity,5
socialnormdataset/social_annotation,socialnorm_01e4c84f,factuality,5
socialnormdataset/social_annotation,socialnorm_02c17ce0,Causal Reasoning,1
socialnormdataset/social_annotation,socialnorm_02c17ce0,Cognitive Flexibility,1
socialnormdataset/social_annotation,socialnorm_02c17ce0,Emotion Perception and Empathy,1
socialnormdataset/social_annotation,socialnorm_02c17ce0,Episodic Memory,0
socialnormdataset/social_annotation,socialnorm_02c17ce0,Functional Perception,2
socialnormdataset/social_annotation,socialnorm_02c17ce0,Inhibitory Control,2
socialnormdataset/social_annotation,socialnorm_02c17ce0,Language,2
socialnormdataset/social_annotation,socialnorm_02c17ce0,Mental Simulation,1
socialnormdataset/social_annotation,socialnorm_02c17ce0,Metacognition,1
socialnormdataset/social_annotation,socialnorm_02c17ce0,Object Permanence,0
socialnormdataset/social_annotation,socialnorm_02c17ce0,Perception and Pattern Recognition,1
socialnormdataset/social_annotation,socialnorm_02c17ce0,Planning,0
socialnormdataset/social_annotation,socialnorm_02c17ce0,Procedural Memory,0
socialnormdataset/social_annotation,socialnorm_02c17ce0,Prospective Memory,0
socialnormdataset/social_annotation,socialnorm_02c17ce0,Semantic Memory,2
socialnormdataset/social_annotation,socialnorm_02c17ce0,Spatial Reasoning and Navigation,0
socialnormdataset/social_annotation,socialnorm_02c17ce0,Theory of Mind,2
socialnormdataset/social_annotation,socialnorm_02c17ce0,Working Memory,3
socialnormdataset/social_annotation,socialnorm_02c17ce0,ambiguity,4
socialnormdataset/social_annotation,socialnorm_02c17ce0,factuality,5
socialnormdataset/social_annotation,socialnorm_04d1f461,Causal Reasoning,0
socialnormdataset/social_annotation,socialnorm_04d1f461,Cognitive Flexibility,0
socialnormdataset/social_annotation,socialnorm_04d1f461,Emotion Perception and Empathy,0
