dataset name,sample id,dimension,score
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Causal Reasoning,0
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Cognitive Flexibility,3
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Emotion Perception and Empathy,0
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Episodic Memory,2
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Functional Perception,0
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Inhibitory Control,2
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Language,2
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Mental Simulation,2
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Metacognition,3
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Object Permanence,0
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Perception and Pattern Recognition,3
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Planning,0
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Procedural Memory,3
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Prospective Memory,0
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Semantic Memory,2
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Spatial Reasoning and Navigation,3
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Theory of Mind,0
ZhengyanShi/StepGame_annotation,stepgame_0025c079,Working Memory,4
ZhengyanShi/StepGame_annotation,stepgame_0025c079,ambiguity,3
ZhengyanShi/StepGame_annotation,stepgame_0025c079,factuality,5
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Causal Reasoning,0
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Cognitive Flexibility,3
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Emotion Perception and Empathy,0
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Episodic Memory,2
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Functional Perception,2
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Inhibitory Control,2
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Language,2
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Mental Simulation,2
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Metacognition,3
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Object Permanence,0
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Perception and Pattern Recognition,3
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Planning,2
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Procedural Memory,3
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Prospective Memory,3
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Semantic Memory,2
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Spatial Reasoning and Navigation,3
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Theory of Mind,0
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,Working Memory,3
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,ambiguity,3
ZhengyanShi/StepGame_annotation,stepgame_00881ba1,factuality,1
ZhengyanShi/StepGame_annotation,stepgame_009da571,Causal Reasoning,0
ZhengyanShi/StepGame_annotation,stepgame_009da571,Cognitive Flexibility,3
ZhengyanShi/StepGame_annotation,stepgame_009da571,Emotion Perception and Empathy,0
ZhengyanShi/StepGame_annotation,stepgame_009da571,Episodic Memory,0
ZhengyanShi/StepGame_annotation,stepgame_009da571,Functional Perception,3
ZhengyanShi/StepGame_annotation,stepgame_009da571,Inhibitory Control,2
ZhengyanShi/StepGame_annotation,stepgame_009da571,Language,2
ZhengyanShi/StepGame_annotation,stepgame_009da571,Mental Simulation,3
ZhengyanShi/StepGame_annotation,stepgame_009da571,Metacognition,3
ZhengyanShi/StepGame_annotation,stepgame_009da571,Object Permanence,0
ZhengyanShi/StepGame_annotation,stepgame_009da571,Perception and Pattern Recognition,3
ZhengyanShi/StepGame_annotation,stepgame_009da571,Planning,2
ZhengyanShi/StepGame_annotation,stepgame_009da571,Procedural Memory,3
ZhengyanShi/StepGame_annotation,stepgame_009da571,Prospective Memory,3
ZhengyanShi/StepGame_annotation,stepgame_009da571,Semantic Memory,1
ZhengyanShi/StepGame_annotation,stepgame_009da571,Spatial Reasoning and Navigation,3
ZhengyanShi/StepGame_annotation,stepgame_009da571,Theory of Mind,0
ZhengyanShi/StepGame_annotation,stepgame_009da571,Working Memory,4
ZhengyanShi/StepGame_annotation,stepgame_009da571,ambiguity,3
ZhengyanShi/StepGame_annotation,stepgame_009da571,factuality,5
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Causal Reasoning,0
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Cognitive Flexibility,0
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Emotion Perception and Empathy,0
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Episodic Memory,1
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Functional Perception,2
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Inhibitory Control,1
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Language,2
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Mental Simulation,0
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Metacognition,0
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Object Permanence,0
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Perception and Pattern Recognition,2
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Planning,0
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Procedural Memory,0
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Prospective Memory,1
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Semantic Memory,2
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Spatial Reasoning and Navigation,1
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Theory of Mind,0
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,Working Memory,1
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,ambiguity,5
ZhengyanShi/StepGame_annotation,stepgame_00b7b09f,factuality,5
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Causal Reasoning,0
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Cognitive Flexibility,4
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Emotion Perception and Empathy,0
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Episodic Memory,0
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Functional Perception,0
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Inhibitory Control,2
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Language,2
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Mental Simulation,1
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Metacognition,3
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Object Permanence,0
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Perception and Pattern Recognition,3
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Planning,1
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Procedural Memory,2
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Prospective Memory,0
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Semantic Memory,3
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Spatial Reasoning and Navigation,3
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Theory of Mind,0
ZhengyanShi/StepGame_annotation,stepgame_01680b45,Working Memory,3
ZhengyanShi/StepGame_annotation,stepgame_01680b45,ambiguity,4
ZhengyanShi/StepGame_annotation,stepgame_01680b45,factuality,5
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Causal Reasoning,0
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Cognitive Flexibility,3
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Emotion Perception and Empathy,0
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Episodic Memory,1
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Functional Perception,3
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Inhibitory Control,3
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Language,2
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Mental Simulation,1
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Metacognition,2
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Object Permanence,1
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Perception and Pattern Recognition,3
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Planning,1
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Procedural Memory,2
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Prospective Memory,2
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Semantic Memory,2
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Spatial Reasoning and Navigation,1
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Theory of Mind,0
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,Working Memory,3
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,ambiguity,3
ZhengyanShi/StepGame_annotation,stepgame_01c27f53,factuality,2
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Causal Reasoning,0
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Cognitive Flexibility,0
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Emotion Perception and Empathy,0
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Episodic Memory,1
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Functional Perception,2
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Inhibitory Control,1
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Language,1
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Mental Simulation,0
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Metacognition,2
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Object Permanence,0
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Perception and Pattern Recognition,2
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Planning,1
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Procedural Memory,1
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Prospective Memory,0
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Semantic Memory,1
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Spatial Reasoning and Navigation,1
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Theory of Mind,0
ZhengyanShi/StepGame_annotation,stepgame_0329f889,Working Memory,3
ZhengyanShi/StepGame_annotation,stepgame_0329f889,ambiguity,3
ZhengyanShi/StepGame_annotation,stepgame_0329f889,factuality,5
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Causal Reasoning,0
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Cognitive Flexibility,0
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Emotion Perception and Empathy,0
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Episodic Memory,0
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Functional Perception,1
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Inhibitory Control,1
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Language,1
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Mental Simulation,0
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Metacognition,2
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Object Permanence,0
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Perception and Pattern Recognition,2
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Planning,0
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Procedural Memory,0
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Prospective Memory,0
ZhengyanShi/StepGame_annotation,stepgame_036a0d70,Semantic Memory,0
