task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,15.454545454545455,24.134615384615383,20.357142857142858,13.0,21.591836734693878,17.22222222222222,18.25,20.625,20.4,20.625,20.0,15.652173913043478,13.0,11.666666666666666,18.055555555555557,20.0,19.545454545454547,23.216216216216218
Checking,12.142857142857142,23.75,24.130434782608695,16.923076923076923,19.137931034482758,17.77777777777778,19.583333333333332,17.272727272727273,20.833333333333332,22.22222222222222,21.928571428571427,16.11111111111111,21.25,17.142857142857142,17.523809523809526,24.0,30.0,21.53846153846154
Decision making,17.941176470588236,21.379310344827587,19.23076923076923,16.818181818181817,18.214285714285715,18.46153846153846,18.61111111111111,25.681818181818183,25.454545454545453,18.31578947368421,15.952380952380953,20.27777777777778,16.25,21.25,20.84375,15.357142857142858,18.75,18.823529411764707
Problem solving,18.333333333333332,20.804878048780488,25.0,13.5,19.90566037735849,23.333333333333332,18.333333333333332,19.291666666666668,21.88888888888889,18.636363636363637,17.575757575757574,19.0625,19.333333333333332,17.0,21.666666666666668,15.454545454545455,18.076923076923077,20.74074074074074
Creative thinking,15.0,17.5,15.0,19.0,17.5,15.0,18.88888888888889,24.666666666666668,20.416666666666668,16.7,21.5,21.666666666666668,0.0,12.5,18.88888888888889,21.5,20.833333333333332,22.5
LT planning,16.363636363636363,18.928571428571427,18.125,20.0,15.416666666666666,17.5,12.5,20.227272727272727,29.833333333333332,16.666666666666668,18.88888888888889,17.0,18.0,16.25,17.1875,16.25,21.25,20.833333333333332
ST planning,15.0,19.583333333333332,17.727272727272727,20.0,18.0,15.0,22.916666666666668,15.0,27.59259259259259,16.666666666666668,18.333333333333332,20.0,15.833333333333334,15.0,20.0,19.0,20.0,17.857142857142858
Tool use,17.0,20.357142857142858,34.61538461538461,18.125,18.88888888888889,10.75,16.25,11.25,20.625,13.333333333333334,14.5,15.833333333333334,25.555555555555557,16.0,18.333333333333332,30.0,10.0,18.333333333333332
Computer use,20.555555555555557,22.972972972972972,25.7,22.857142857142858,18.181818181818183,15.0,18.64,15.555555555555555,17.36,18.636363636363637,20.5,16.833333333333332,21.428571428571427,13.75,16.523809523809526,17.5,15.0,18.333333333333332
Coding,0.0,40.0,23.333333333333332,17.5,21.666666666666668,15.0,14.0,0.0,28.75,15.0,14.0,22.0,0.0,0.0,15.666666666666666,10.0,0.0,10.0
Data manipulation,16.666666666666668,20.384615384615383,21.38888888888889,21.25,20.0,16.666666666666668,14.166666666666666,15.0,21.5625,12.5,24.545454545454547,30.0,10.0,12.5,20.0,15.0,25.0,17.142857142857142
Analysing data,18.571428571428573,20.73913043478261,23.333333333333332,15.0,19.285714285714285,15.0,16.25,29.5,16.153846153846153,12.0,24.785714285714285,17.571428571428573,20.0,20.0,19.0625,21.4,15.0,20.0
Communicating,10.0,18.952380952380953,20.0,11.875,20.0,11.0,15.4375,15.5,20.76923076923077,17.5,14.363636363636363,18.846153846153847,0.0,15.0,15.454545454545455,19.8,20.0,32.878787878787875
Listening,15.0,22.77777777777778,22.5,18.333333333333332,20.555555555555557,7.5,16.666666666666668,10.0,24.0,0.0,15.625,13.75,5.0,20.0,16.666666666666668,30.0,16.0,27.22222222222222
Building rapport,14.375,20.0,15.0,15.0,17.5,14.375,12.857142857142858,11.166666666666666,17.5,13.571428571428571,13.75,17.272727272727273,0.0,12.142857142857142,16.25,22.296296296296298,25.636363636363637,26.774193548387096
Managing people,17.5,15.23076923076923,17.5,20.714285714285715,21.25,17.4,16.363636363636363,17.727272727272727,18.68421052631579,40.0,17.5,21.818181818181817,20.0,16.666666666666668,19.5,22.22222222222222,20.90909090909091,26.52173913043478
Managing resources,22.0,20.0,25.0,20.22222222222222,20.0,17.0,15.714285714285714,18.333333333333332,23.125,30.0,17.5,21.25,18.333333333333332,20.0,21.0,17.0,0.0,15.0
Admin,23.0,25.3,17.523809523809526,15.833333333333334,23.125,8.333333333333334,18.125,15.0,16.071428571428573,17.0,20.5,20.0,28.333333333333332,15.0,13.88888888888889,11.0,8.333333333333334,27.944444444444443
