Number,Abilities,Explanation,Acronym,Example 1,Example 2,Examples from DS
1,Episodic Memory,Remembering previous events,EM,Remembering the last time you visited a place,Remembering the last time you met with a client,Remembering a mistake you made on a previous project
2,Semantic Memory,Remembering facts and information,SM,Recalling product descriptions or specifications,Recalling information about a customer or client,Recalling a specific formula or algorithm
3,Procedural Memory,Remembering how to perform learned tasks or skills,ProcM,Remembering how to drive a car or operate a machine,Remembering how to initiate and maintain a conversation at a networking event,Remembering how to type the correct syntax for a function in a familiar coding language
4,Prospective Memory,Remembering to do what you had planned to do,ProsM,Remembering to pick up a package after work,Remembering to call a client after lunch,Remembering to fix a bug in the code a day later
5,Working Memory,Holding multiple pieces of information in your mind at once,WM,Remembering the architect's plan you just reviewed when renovating a room,Remembering the email address you were just told as you type it out,Remembering the name of the function you just defined a few moments ago
6,Attention and Inhibitory Control,Controlling behaviours or thoughts to focus on the task at hand,AaIC,Focusing on the task rather than the noise from the construction site outside,Calmly listening to a customer's grievances and resisting the urge to argue back,Focusing on the current bug even though you have thought of a potential solution for a different one
7,Cognitive Flexibility,Switching between tasks or adapting to changing circumstances,CF,Modifying your usual work process to deal with a specific customer request,Sending an email whilst following the discussion in a business meeting,Adjusting to different syntax after changing between coding languages
8,Mental Simulation,Imagining possible future scenarios that might result from different actions,MS,Imagining what would happen if you removed the bowl from the bottom of the pile of dirty dishes,Imagining what would happen if you told a piece of information about a colleague to the manager,Imagining what would happen if you added a new variable to your machine learning model
9,Planning,Mapping out a strategy or a sequence of actions to achieve a goal,P,Deciding that you need to measure and mark the correct location on the wall before drilling,"Deciding to first greet the host, then approach key individuals, before finally exchanging contact information at a networking event","Deciding to first clean the dataset, then perform exploratory analysis, before finally training the machine learning model"
10,Metacognition,"Thinking about or assessing your own thoughts, ability or performance",MC,Deciding whether that piece of furniture is too heavy to lift on your own,Deciding whether you need notes to deliver a presentation,Deciding if you have enough understanding of the topic before accepting a project
11,Perception and Pattern Recognition,"Using prior experience to notice relevant details about people, objects or data",PaPR,Recognising that an object is fragile based on the material it's made from,Recognising that a colleague is looking confused during a presentation,Recognising that a document is formatted incorrectly
12,Functional Perception,"Recognising the appropriate roles that objects, people, or information can play in achieving a goal",FP,Estimating whether a surface is the right size and strength to support an object,"Recognising that a doctor can diagnose your illness, but a lawyer cannot","Realising that you can use either a calculator or an excel sheet to do a sum, but only the excel sheet can also contain a database"
13,Spatial Reasoning and Navigation,"Reasoning about size, space and distance and how you should move from one location to another",SRaN,Deciding whether your luggage will fit in the space that remains in the boot of your car,Finding your way from one room to another on the opposite side of a large office building ,Moving files from your local drive to a specific directory in cloud storage
14,Object Permanence,Realising that people and objects continue to exist and have impact even if you cannot see them,OP,"Understanding that while you may have painted over the crack, the house may still be subsiding","Understanding that even if someone who is upset leaves the room, they still exist and their emotional state can continue to influence the situation",Understanding that the data not currently displayed on the screen still exists in the database and will influence the summary statistics
15,Causal Reasoning,Understanding that an outcome is the result of a previous action or event,CR,Realising that the change in budget resulted in lower quality materials,Realising that a client’s change of heart might be a consequence of the new information they received,Realising that it was the last change to the code that caused the programme to crash
16,Theory of Mind,"Reasoning about the goals, beliefs and desires of others",ToM,"Being able to understand what a customer is implying, even if they do not say it outright",Realising that a client arrived late to a meeting because nobody told them the time had been changed,Realising that a junior colleague is constantly asking you questions because they are eager to learn
17,Emotion Perception and Empathy,Considering and connecting with the feelings and emotions of others,EPaE,Being aware that news of lay-offs might make employees worried or upset,Recognising when the client just needs someone to listen and care,Recognising when a colleague is becoming frustrated and needs to vent
18,Language,Using language to communicate information between you and another person,L,Explaining complex regulations to a colleague in a way that will make sense to them,Reading and understanding the latest report from your company's head office,Explaining to an important client why their proposed solution is not going to work
